#1
double	Pel(35040, 2)
1515173400	652
1515174300	652
1515175200	644
1515176100	644
1515177000	644
1515177900	644
1515178800	396
1515179700	396
1515180600	396
1515181500	396
1515182400	364
1515183300	364
1515184200	364
1515185100	364
1515186000	348
1515186900	348
1515187800	348
1515188700	348
1515189600	276
1515190500	276
1515191400	276
1515192300	276
1515193200	184
1515194100	184
1515195000	184
1515195900	184
1515196800	176
1515197700	176
1515198600	176
1515199500	176
1515200400	208
1515201300	208
1515202200	208
1515203100	208
1515204000	200
1515204900	200
1515205800	200
1515206700	200
1515207600	172
1515208500	172
1515209400	172
1515210300	172
1515211200	196
1515212100	196
1515213000	196
1515213900	196
1515214800	280
1515215700	280
1515216600	280
1515217500	280
1515218400	372
1515219300	372
1515220200	372
1515221100	372
1515222000	324
1515222900	324
1515223800	324
1515224700	324
1515225600	176
1515226500	176
1515227400	176
1515228300	176
1515229200	176
1515230100	176
1515231000	176
1515231900	176
1515232800	152
1515233700	152
1515234600	152
1515235500	152
1515236400	136
1515237300	136
1515238200	136
1515239100	136
1515240000	132
1515240900	132
1515241800	132
1515242700	132
1515243600	136
1515244500	136
1515245400	136
1515246300	136
1515247200	136
1515248100	136
1515249000	136
1515249900	136
1515250800	180
1515251700	180
1515252600	180
1515253500	180
1515254400	336
1515255300	336
1515256200	336
1515257100	336
1515258000	652
1515258900	652
1515259800	652
1515260700	652
1515261600	644
1515262500	644
1515263400	644
1515264300	644
1515265200	396
1515266100	396
1515267000	396
1515267900	396
1515268800	364
1515269700	364
1515270600	364
1515271500	364
1515272400	348
1515273300	348
1515274200	348
1515275100	348
1515276000	276
1515276900	276
1515277800	276
1515278700	276
1515279600	184
1515280500	184
1515281400	184
1515282300	184
1515283200	176
1515284100	176
1515285000	176
1515285900	176
1515286800	208
1515287700	208
1515288600	208
1515289500	208
1515290400	200
1515291300	200
1515292200	200
1515293100	200
1515294000	172
1515294900	172
1515295800	172
1515296700	172
1515297600	196
1515298500	196
1515299400	196
1515300300	196
1515301200	280
1515302100	280
1515303000	280
1515303900	280
1515304800	372
1515305700	372
1515306600	372
1515307500	372
1515308400	324
1515309300	324
1515310200	324
1515311100	324
1515312000	176
1515312900	176
1515313800	176
1515314700	176
1515315600	176
1515316500	176
1515317400	176
1515318300	176
1515319200	152
1515320100	152
1515321000	152
1515321900	152
1515322800	136
1515323700	136
1515324600	136
1515325500	136
1515326400	132
1515327300	132
1515328200	132
1515329100	132
1515330000	136
1515330900	136
1515331800	136
1515332700	136
1515333600	136
1515334500	136
1515335400	136
1515336300	136
1515337200	180
1515338100	180
1515339000	180
1515339900	180
1515340800	336
1515341700	336
1515342600	336
1515343500	336
1515344400	652
1515345300	652
1515346200	652
1515347100	652
1515348000	644
1515348900	644
1515349800	644
1515350700	644
1515351600	396
1515352500	396
1515353400	396
1515354300	396
1515355200	364
1515356100	364
1515357000	364
1515357900	364
1515358800	348
1515359700	348
1515360600	348
1515361500	348
1515362400	276
1515363300	276
1515364200	276
1515365100	276
1515366000	184
1515366900	184
1515367800	184
1515368700	184
1515369600	176
1515370500	176
1515371400	176
1515372300	176
1515373200	208
1515374100	208
1515375000	208
1515375900	208
1515376800	200
1515377700	200
1515378600	200
1515379500	200
1515380400	172
1515381300	172
1515382200	172
1515383100	172
1515384000	196
1515384900	196
1515385800	196
1515386700	196
1515387600	280
1515388500	280
1515389400	280
1515390300	280
1515391200	372
1515392100	372
1515393000	372
1515393900	372
1515394800	324
1515395700	324
1515396600	324
1515397500	324
1515398400	176
1515399300	176
1515400200	176
1515401100	176
1515402000	176
1515402900	176
1515403800	176
1515404700	176
1515405600	152
1515406500	152
1515407400	152
1515408300	152
1515409200	136
1515410100	136
1515411000	136
1515411900	136
1515412800	132
1515413700	132
1515414600	132
1515415500	132
1515416400	136
1515417300	136
1515418200	136
1515419100	136
1515420000	136
1515420900	136
1515421800	136
1515422700	136
1515423600	180
1515424500	180
1515425400	180
1515426300	180
1515427200	336
1515428100	336
1515429000	336
1515429900	336
1515430800	652
1515431700	652
1515432600	652
1515433500	652
1515434400	644
1515435300	644
1515436200	644
1515437100	644
1515438000	396
1515438900	396
1515439800	396
1515440700	396
1515441600	364
