timestamp,power
1598918400,92
1598919300,108
1598920200,106
1598921100,113
1598922000,92
1598922900,90
1598923800,90
1598924700,99
1598925600,86
1598926500,87
1598927400,104
1598928300,122
1598929200,109
1598930100,219
1598931000,89
1598931900,107
1598932800,110
1598933700,134
1598934600,148
1598935500,138
1598936400,106
1598937300,93
1598938200,95
1598939100,94
1598940000,113
1598940900,108
1598941800,161
1598942700,306
1598943600,106
1598944500,119
1598945400,189
1598946300,169
1598947200,169
1598948100,131
1598949000,95
1598949900,128
1598950800,91
1598951700,183
1598952600,173
1598953500,128
1598954400,140
1598955300,206
1598956200,123
1598957100,112
1598958000,124
1598958900,129
1598959800,122
1598960700,96
1598961600,124
1598962500,146
1598963400,137
1598964300,228
1598965200,162
1598966100,103
1598967000,133
1598967900,115
1598968800,102
1598969700,135
1598970600,105
1598971500,105
1598972400,106
1598973300,101
1598974200,135
1598975100,168
1598976000,279
1598976900,135
1598977800,122
1598978700,118
1598979600,101
1598980500,122
1598981400,214
1598982300,675
1598983200,217
1598984100,214
1598985000,799
1598985900,635
1598986800,596
1598987700,763
1598988600,267
1598989500,388
1598990400,403
1598991300,587
1598992200,706
1598993100,709
1598994000,662
1598994900,625
1598995800,605
1598996700,556
1598997600,556
1598998500,572
1598999400,550
1599000300,548
1599001200,615
1599002100,200
1599003000,101
1599003900,131
1599004800,123
1599005700,122
1599006600,127
1599007500,99
1599008400,94
1599009300,81
1599010200,77
1599011100,114
1599012000,112
1599012900,111
1599013800,87
1599014700,106
1599015600,209
1599016500,137
1599017400,110
1599018300,108
1599019200,80
1599020100,69
1599021000,83
1599021900,253
1599022800,173
1599023700,224
1599024600,176
1599025500,267
1599026400,329
1599027300,180
1599028200,241
1599029100,199
1599030000,162
1599030900,154
1599031800,161
1599032700,190
1599033600,126
1599034500,119
1599035400,135
1599036300,145
1599037200,112
1599038100,241
1599039000,101
1599039900,122
1599040800,151
1599041700,158
1599042600,197
1599043500,134
1599044400,174
1599045300,103
1599046200,117
1599047100,254
1599048000,125
1599048900,204
1599049800,157
1599050700,234
1599051600,180
1599052500,117
1599053400,126
1599054300,135
1599055200,152
1599056100,114
1599057000,367
1599057900,116
1599058800,93
1599059700,90
1599060600,125
1599061500,130
1599062400,108
1599063300,109
1599064200,122
1599065100,258
1599066000,368
1599066900,329
1599067800,265
1599068700,240
1599069600,247
1599070500,213
1599071400,207
1599072300,233
1599073200,255
1599074100,235
1599075000,205
1599075900,210
1599076800,338
1599077700,462
1599078600,651
1599079500,688
1599080400,672
1599081300,606
1599082200,598
1599083100,607
1599084000,656
1599084900,767
1599085800,721
1599086700,253
1599087600,204
1599088500,195
1599089400,185
1599090300,251
1599091200,120
1599092100,141
1599093000,123
1599093900,115
1599094800,113
1599095700,127
1599096600,112
1599097500,102
1599098400,125
1599099300,129
1599100200,123
1599101100,98
1599102000,89
1599102900,84
1599103800,178
1599104700,177
1599105600,124
1599106500,116
1599107400,131
1599108300,114
1599109200,98
1599110100,102
1599111000,211
1599111900,125
1599112800,107
1599113700,86
1599114600,99
1599115500,297
1599116400,451
1599117300,420
1599118200,272
1599119100,172
1599120000,131
1599120900,131
1599121800,150
1599122700,147
1599123600,148
1599124500,146
1599125400,118
1599126300,103
1599127200,95
1599128100,145
1599129000,483
1599129900,319
1599130800,493
1599131700,123
1599132600,128
1599133500,98
1599134400,113
1599135300,154
1599136200,142
1599137100,116
1599138000,185
1599138900,114
1599139800,108
1599140700,138
1599141600,144
1599142500,227
1599143400,163
1599144300,102
1599145200,119
1599146100,102
1599147000,103
1599147900,126
1599148800,337
1599149700,528
1599150600,438
1599151500,241
1599152400,178
1599153300,315
1599154200,353
1599155100,659
1599156000,167
1599156900,326
1599157800,337
1599158700,361
1599159600,370
1599160500,452
1599161400,440
1599162300,373
1599163200,366
1599164100,701
1599165000,735
1599165900,730
1599166800,705
1599167700,671
1599168600,682
1599169500,632
1599170400,579
1599171300,590
1599172200,594
1599173100,557
1599174000,532
1599174900,533
1599175800,541
1599176700,534
1599177600,190
1599178500,115
1599179400,130
1599180300,98
1599181200,87
1599182100,88
1599183000,90
1599183900,268
1599184800,117
1599185700,105
1599186600,94
1599187500,84
1599188400,86
1599189300,108
1599190200,121
1599191100,121
1599192000,111
1599192900,97
1599193800,185
1599194700,302
1599195600,270
1599196500,476
1599197400,512
1599198300,494
1599199200,356
1599200100,144
1599201000,139
1599201900,213
1599202800,225
1599203700,427
1599204600,287
1599205500,287
1599206400,492
1599207300,246
1599208200,306
1599209100,326
1599210000,331
1599210900,184
1599211800,127
1599212700,127
1599213600,132
1599214500,252
1599215400,166
1599216300,112
1599217200,102
1599218100,329
1599219000,550
1599219900,189
1599220800,138
1599221700,135
1599222600,140
1599223500,130
1599224400,136
1599225300,216
1599226200,177
1599227100,147
1599228000,152
1599228900,126
1599229800,116
1599230700,525
1599231600,471
1599232500,379
1599233400,384
1599234300,363
1599235200,274
1599236100,405
1599237000,335
1599237900,339
1599238800,476
1599239700,262
1599240600,295
1599241500,310
1599242400,346
1599243300,345
1599244200,340
1599245100,349
1599246000,350
1599246900,364
1599247800,435
1599248700,595
1599249600,470
1599250500,674
1599251400,840
1599252300,891
1599253200,890
1599254100,806
1599255000,684
1599255900,677
1599256800,667
1599257700,642
1599258600,637
1599259500,658
1599260400,658
1599261300,602
1599262200,338
1599263100,132
1599264000,158
1599264900,161
1599265800,287
1599266700,140
1599267600,145
1599268500,149
1599269400,155
1599270300,141
1599271200,119
1599272100,128
1599273000,111
1599273900,135
1599274800,135
1599275700,127
1599276600,109
1599277500,93
1599278400,90
1599279300,178
1599280200,220
1599281100,125
1599282000,109
1599282900,109
1599283800,111
1599284700,283
1599285600,167
1599286500,202
1599287400,136
1599288300,113
1599289200,207
1599290100,440
1599291000,684
1599291900,412
1599292800,158
1599293700,105
1599294600,220
1599295500,149
1599296400,173
1599297300,378
1599298200,241
1599299100,138
1599300000,247
1599300900,473
1599301800,322
1599302700,577
1599303600,397
1599304500,420
1599305400,625
1599306300,528
1599307200,948
1599308100,528
1599309000,328
1599309900,321
1599310800,622
1599311700,419
1599312600,370
1599313500,317
1599314400,324
1599315300,277
1599316200,331
1599317100,304
1599318000,243
1599318900,331
1599319800,344
1599320700,283
1599321600,484
1599322500,328
1599323400,504
1599324300,1133
1599325200,703
1599326100,514
1599327000,532
1599327900,571
1599328800,845
1599329700,861
1599330600,1092
1599331500,727
1599332400,742
1599333300,508
1599334200,548
1599335100,455
1599336000,482
1599336900,743
1599337800,919
1599338700,958
1599339600,966
1599340500,917
1599341400,813
1599342300,718
1599343200,715
1599344100,741
1599345000,761
1599345900,764
1599346800,454
1599347700,338
1599348600,309
1599349500,279
1599350400,211
1599351300,320
1599352200,322
1599353100,235
1599354000,290
1599354900,291
1599355800,284
1599356700,227
1599357600,299
1599358500,303
1599359400,226
1599360300,294
1599361200,432
1599362100,291
1599363000,291
1599363900,241
1599364800,308
1599365700,281
1599366600,227
1599367500,290
1599368400,370
1599369300,344
1599370200,368
1599371100,443
1599372000,249
1599372900,305
1599373800,380
1599374700,573
1599375600,564
1599376500,644
1599377400,661
1599378300,641
1599379200,400
1599380100,382
1599381000,993
1599381900,1042
1599382800,391
1599383700,807
1599384600,834
1599385500,1063
1599386400,907
1599387300,383
1599388200,340
1599389100,350
1599390000,348
1599390900,340
1599391800,280
1599392700,352
1599393600,381
1599394500,576
1599395400,1117
1599396300,746
1599397200,462
1599398100,469
1599399000,427
1599399900,685
1599400800,766
1599401700,439
1599402600,400
1599403500,468
1599404400,441
1599405300,331
1599406200,349
1599407100,375
1599408000,383
1599408900,364
1599409800,524
1599410700,554
1599411600,665
1599412500,850
1599413400,622
1599414300,686
1599415200,673
1599416100,708
1599417000,576
1599417900,556
1599418800,537
1599419700,552
1599420600,441
1599421500,407
1599422400,404
1599423300,749
1599424200,845
1599425100,858
1599426000,850
1599426900,784
1599427800,758
1599428700,754
1599429600,726
1599430500,722
1599431400,760
1599432300,758
1599433200,743
1599434100,729
1599435000,716
1599435900,714
1599436800,741
1599437700,259
1599438600,304
1599439500,304
1599440400,240
1599441300,302
1599442200,293
1599443100,221
1599444000,325
1599444900,313
1599445800,203
1599446700,272
1599447600,289
1599448500,235
1599449400,300
1599450300,304
1599451200,251
1599452100,450
1599453000,303
1599453900,332
1599454800,298
1599455700,420
1599456600,379
1599457500,378
1599458400,478
1599459300,433
1599460200,446
1599461100,424
1599462000,494
1599462900,557
1599463800,794
1599464700,780
1599465600,600
1599466500,342
1599467400,223
1599468300,519
1599469200,521
1599470100,526
1599471000,167
1599471900,476
1599472800,511
1599473700,399
1599474600,264
1599475500,244
1599476400,250
1599477300,247
1599478200,267
1599479100,354
1599480000,644
1599480900,626
1599481800,199
1599482700,112
1599483600,109
1599484500,270
1599485400,123
1599486300,98
1599487200,102
1599488100,119
1599489000,130
1599489900,329
1599490800,153
1599491700,352
1599492600,338
1599493500,131
1599494400,148
1599495300,160
1599496200,216
1599497100,195
1599498000,251
1599498900,312
1599499800,222
1599500700,236
1599501600,242
1599502500,313
1599503400,483
1599504300,403
1599505200,324
1599506100,332
1599507000,535
1599507900,583
1599508800,692
1599509700,964
1599510600,1026
1599511500,1047
1599512400,1065
1599513300,1110
1599514200,865
1599515100,843
1599516000,637
1599516900,391
1599517800,299
1599518700,385
1599519600,311
1599520500,256
1599521400,307
1599522300,304
1599523200,233
1599524100,296
