timestamp,power
1588284000,353
1588284900,328
1588285800,307
1588286700,286
1588287600,265
1588288500,244
1588289400,224
1588290300,208
1588291200,196
1588292100,187
1588293000,181
1588293900,176
1588294800,172
1588295700,168
1588296600,166
1588297500,164
1588298400,163
1588299300,163
1588300200,163
1588301100,164
1588302000,164
1588302900,164
1588303800,163
1588304700,164
1588305600,165
1588306500,168
1588307400,174
1588308300,186
1588309200,204
1588310100,228
1588311000,260
1588311900,299
1588312800,345
1588313700,395
1588314600,446
1588315500,497
1588316400,545
1588317300,588
1588318200,625
1588319100,655
1588320000,676
1588320900,693
1588321800,707
1588322700,724
1588323600,745
1588324500,768
1588325400,789
1588326300,803
1588327200,808
1588328100,801
1588329000,783
1588329900,752
1588330800,710
1588331700,660
1588332600,612
1588333500,570
1588334400,540
1588335300,521
1588336200,507
1588337100,494
1588338000,481
1588338900,466
1588339800,450
1588340700,435
1588341600,420
1588342500,407
1588343400,399
1588344300,397
1588345200,401
1588346100,412
1588347000,428
1588347900,450
1588348800,477
1588349700,506
1588350600,535
1588351500,564
1588352400,588
1588353300,608
1588354200,619
1588355100,620
1588356000,611
1588356900,594
1588357800,576
1588358700,561
1588359600,552
1588360500,547
1588361400,543
1588362300,535
1588363200,520
1588364100,499
1588365000,472
1588365900,441
1588366800,407
1588367700,372
1588368600,337
1588369500,305
1588370400,302
1588371300,283
1588372200,266
1588373100,251
1588374000,235
1588374900,219
1588375800,204
1588376700,191
1588377600,182
1588378500,176
1588379400,172
1588380300,169
1588381200,167
1588382100,165
1588383000,164
1588383900,163
1588384800,162
1588385700,162
1588386600,162
1588387500,163
1588388400,164
1588389300,167
1588390200,171
1588391100,179
1588392000,190
1588392900,207
1588393800,229
1588394700,257
1588395600,292
1588396500,331
1588397400,372
1588398300,411
1588399200,446
1588400100,477
1588401000,504
1588401900,527
1588402800,545
1588403700,561
1588404600,574
1588405500,586
1588406400,599
1588407300,610
1588408200,621
1588409100,630
1588410000,638
1588410900,644
1588411800,650
1588412700,659
1588413600,670
1588414500,681
1588415400,690
1588416300,693
1588417200,688
1588418100,678
1588419000,662
1588419900,646
1588420800,630
1588421700,615
1588422600,600
1588423500,586
1588424400,574
1588425300,563
1588426200,555
1588427100,549
1588428000,546
1588428900,548
1588429800,553
1588430700,561
1588431600,574
1588432500,589
1588433400,609
1588434300,630
1588435200,655
1588436100,680
1588437000,704
1588437900,725
1588438800,740
1588439700,750
1588440600,751
1588441500,744
1588442400,725
1588443300,698
1588444200,666
1588445100,630
1588446000,595
1588446900,563
1588447800,539
1588448700,524
1588449600,521
1588450500,525
1588451400,526
1588452300,517
1588453200,494
1588454100,459
1588455000,420
1588455900,382
1588456800,351
1588457700,326
1588458600,305
1588459500,284
1588460400,263
1588461300,242
1588462200,223
1588463100,206
1588464000,194
1588464900,185
1588465800,179
1588466700,175
1588467600,171
1588468500,167
1588469400,164
1588470300,163
1588471200,162
1588472100,162
1588473000,162
1588473900,163
1588474800,163
1588475700,163
1588476600,162
1588477500,163
1588478400,163
1588479300,166
1588480200,173
1588481100,184
1588482000,202
1588482900,227
1588483800,258
1588484700,297
1588485600,342
1588486500,392
1588487400,443
1588488300,494
1588489200,541
1588490100,584
1588491000,621
1588491900,650
1588492800,671
1588493700,687
1588494600,702
1588495500,719
1588496400,740
1588497300,762
1588498200,783
1588499100,797
1588500000,802
1588500900,795
1588501800,777
1588502700,747
1588503600,704
1588504500,655
1588505400,607
1588506300,565
1588507200,536
1588508100,517
1588509000,503
1588509900,491
1588510800,477
1588511700,462
1588512600,447
1588513500,431
1588514400,417
1588515300,404
1588516200,396
1588517100,394
1588518000,398
1588518900,408
1588519800,425
1588520700,447
1588521600,473
1588522500,502
1588523400,531
1588524300,559
1588525200,584
1588526100,603
1588527000,614
1588527900,616
1588528800,606
1588529700,590
1588530600,571
1588531500,556
1588532400,548
1588533300,543
1588534200,539
1588535100,531
1588536000,516
1588536900,495
1588537800,468
1588538700,437
1588539600,404
1588540500,369
1588541400,335
1588542300,303
1588543200,291
