timestamp,power
1598918400,48
1598919300,30
1598920200,54
1598921100,38
1598922000,56
1598922900,24
1598923800,41
1598924700,59
1598925600,24
1598926500,52
1598927400,39
1598928300,37
1598929200,56
1598930100,31
1598931000,49
1598931900,46
1598932800,45
1598933700,30
1598934600,36
1598935500,99
1598936400,91
1598937300,42
1598938200,38
1598939100,31
1598940000,222
1598940900,74
1598941800,285
1598942700,265
1598943600,253
1598944500,92
1598945400,54
1598946300,74
1598947200,48
1598948100,36
1598949000,57
1598949900,50
1598950800,46
1598951700,32
1598952600,71
1598953500,40
1598954400,29
1598955300,70
1598956200,37
1598957100,38
1598958000,43
1598958900,175
1598959800,52
1598960700,628
1598961600,169
1598962500,179
1598963400,166
1598964300,151
1598965200,144
1598966100,139
1598967000,67
1598967900,82
1598968800,59
1598969700,25
1598970600,74
1598971500,86
1598972400,73
1598973300,76
1598974200,88
1598975100,47
1598976000,51
1598976900,50
1598977800,36
1598978700,39
1598979600,52
1598980500,39
1598981400,97
1598982300,113
1598983200,103
1598984100,122
1598985000,103
1598985900,90
1598986800,53
1598987700,34
1598988600,47
1598989500,51
1598990400,62
1598991300,26
1598992200,53
1598993100,50
1598994000,33
1598994900,57
1598995800,35
1598996700,44
1598997600,46
1598998500,33
1598999400,44
1599000300,52
1599001200,36
1599002100,38
1599003000,51
1599003900,61
1599004800,24
1599005700,58
1599006600,37
1599007500,37
1599008400,58
1599009300,34
1599010200,44
1599011100,47
1599012000,33
1599012900,43
1599013800,44
1599014700,54
1599015600,28
1599016500,51
1599017400,45
1599018300,33
1599019200,97
1599020100,121
1599021000,72
1599021900,117
1599022800,69
1599023700,66
1599024600,77
1599025500,71
1599026400,46
1599027300,46
1599028200,100
1599029100,58
1599030000,62
1599030900,57
1599031800,677
1599032700,631
1599033600,248
1599034500,160
1599035400,95
1599036300,95
1599037200,56
1599038100,38
1599039000,45
1599039900,42
1599040800,91
1599041700,68
1599042600,100
1599043500,64
1599044400,31
1599045300,57
1599046200,38
1599047100,51
1599048000,106
1599048900,77
1599049800,91
1599050700,85
1599051600,84
1599052500,50
1599053400,63
1599054300,49
1599055200,52
1599056100,102
1599057000,52
1599057900,27
1599058800,113
1599059700,38
1599060600,36
1599061500,58
1599062400,47
1599063300,74
1599064200,81
1599065100,94
1599066000,91
1599066900,167
1599067800,153
1599068700,104
1599069600,121
1599070500,93
1599071400,52
1599072300,120
1599073200,30
1599074100,49
1599075000,75
1599075900,48
1599076800,35
1599077700,44
1599078600,69
1599079500,27
1599080400,53
1599081300,40
1599082200,44
1599083100,45
1599084000,36
1599084900,48
1599085800,45
1599086700,32
1599087600,40
1599088500,56
1599089400,52
1599090300,23
1599091200,54
1599092100,56
1599093000,24
1599093900,57
1599094800,36
1599095700,56
1599096600,34
1599097500,35
1599098400,43
1599099300,52
1599100200,48
1599101100,28
1599102000,55
1599102900,52
1599103800,25
1599104700,62
1599105600,33
1599106500,45
1599107400,46
1599108300,35
1599109200,53
1599110100,101
1599111000,48
1599111900,29
1599112800,47
1599113700,376
1599114600,117
1599115500,167
1599116400,102
1599117300,285
1599118200,154
1599119100,33
1599120000,100
1599120900,52
1599121800,47
1599122700,55
1599123600,67
1599124500,96
1599125400,69
1599126300,105
1599127200,24
1599128100,43
1599129000,43
1599129900,36
1599130800,65
1599131700,225
1599132600,61
1599133500,50
1599134400,91
1599135300,81
1599136200,99
1599137100,103
1599138000,187
1599138900,148
1599139800,80
1599140700,97
1599141600,219
1599142500,52
1599143400,47
1599144300,57
1599145200,43
1599146100,53
1599147000,40
1599147900,65
1599148800,106
1599149700,63
1599150600,82
1599151500,69
1599152400,77
1599153300,54
1599154200,60
1599155100,78
1599156000,84
1599156900,129
1599157800,78
1599158700,42
1599159600,40
1599160500,45
1599161400,54
1599162300,43
1599163200,76
1599164100,43
1599165000,49
1599165900,52
1599166800,27
1599167700,56
1599168600,39
1599169500,43
1599170400,40
1599171300,54
1599172200,40
1599173100,29
1599174000,74
1599174900,28
1599175800,36
1599176700,51
1599177600,43
1599178500,46
1599179400,37
1599180300,44
1599181200,42
1599182100,42
1599183000,46
1599183900,32
1599184800,80
1599185700,23
1599186600,35
1599187500,62
1599188400,49
1599189300,44
1599190200,34
1599191100,48
1599192000,47
1599192900,28
1599193800,54
1599194700,24
1599195600,62
1599196500,34
1599197400,24
1599198300,64
1599199200,118
1599200100,48
1599201000,48
1599201900,86
1599202800,66
1599203700,34
1599204600,75
1599205500,49
1599206400,149
1599207300,86
1599208200,79
1599209100,51
1599210000,199
1599210900,52
1599211800,48
1599212700,367
1599213600,64
1599214500,59
1599215400,76
1599216300,54
1599217200,86
1599218100,41
1599219000,42
1599219900,47
1599220800,83
1599221700,97
1599222600,79
1599223500,49
1599224400,43
1599225300,47
1599226200,88
1599227100,73
1599228000,89
1599228900,65
1599229800,67
1599230700,51
1599231600,47
1599232500,106
1599233400,84
1599234300,101
1599235200,132
1599236100,128
1599237000,124
1599237900,116
1599238800,144
1599239700,116
1599240600,105
1599241500,153
1599242400,118
1599243300,121
1599244200,133
1599245100,83
1599246000,53
1599246900,49
1599247800,48
1599248700,36
1599249600,51
1599250500,43
1599251400,31
1599252300,63
1599253200,31
1599254100,47
1599255000,48
1599255900,30
1599256800,61
1599257700,39
1599258600,34
1599259500,39
1599260400,48
1599261300,43
1599262200,35
1599263100,41
1599264000,45
1599264900,48
1599265800,45
1599266700,26
1599267600,72
1599268500,35
1599269400,31
1599270300,54
1599271200,43
1599272100,46
1599273000,37
1599273900,31
1599274800,54
1599275700,50
1599276600,43
1599277500,28
1599278400,95
1599279300,138
1599280200,52
1599281100,63
1599282000,112
1599282900,91
1599283800,80
1599284700,94
1599285600,587
1599286500,286
1599287400,285
1599288300,569
1599289200,212
1599290100,203
1599291000,207
1599291900,237
1599292800,194
1599293700,207
1599294600,183
1599295500,167
1599296400,200
1599297300,189
1599298200,175
1599299100,177
1599300000,178
1599300900,197
1599301800,169
1599302700,191
1599303600,169
1599304500,184
1599305400,195
1599306300,169
1599307200,207
1599308100,175
1599309000,192
1599309900,134
1599310800,81
1599311700,87
1599312600,87
1599313500,89
1599314400,65
1599315300,80
1599316200,89
1599317100,52
1599318000,66
1599318900,27
1599319800,41
1599320700,138
1599321600,71
1599322500,84
1599323400,65
1599324300,103
1599325200,112
1599326100,108
1599327000,125
1599327900,124
1599328800,130
1599329700,123
1599330600,116
1599331500,131
1599332400,105
1599333300,63
1599334200,53
1599335100,42
1599336000,52
1599336900,35
1599337800,46
1599338700,42
1599339600,53
1599340500,39
1599341400,43
1599342300,42
1599343200,38
1599344100,70
1599345000,25
1599345900,28
1599346800,54
1599347700,42
1599348600,49
1599349500,32
1599350400,32
1599351300,58
1599352200,48
1599353100,43
1599354000,36
1599354900,52
1599355800,45
1599356700,33
1599357600,53
1599358500,25
1599359400,50
1599360300,46
1599361200,26
1599362100,65
1599363000,28
1599363900,46
1599364800,56
1599365700,37
1599366600,37
1599367500,33
1599368400,94
1599369300,76
1599370200,221
1599371100,682
1599372000,320
1599372900,361
1599373800,336
1599374700,357
1599375600,264
1599376500,293
1599377400,378
1599378300,306
1599379200,128
1599380100,141
1599381000,109
1599381900,107
1599382800,545
1599383700,288
1599384600,189
1599385500,54
1599386400,41
1599387300,41
1599388200,57
1599389100,73
1599390000,42
1599390900,48
1599391800,32
1599392700,48
1599393600,50
1599394500,99
1599395400,74
1599396300,103
1599397200,168
1599398100,132
1599399000,86
1599399900,465
1599400800,1006
1599401700,604
1599402600,167
1599403500,105
1599404400,105
1599405300,124
1599406200,73
1599407100,60
1599408000,94
1599408900,72
1599409800,112
1599410700,63
1599411600,79
1599412500,94
1599413400,94
1599414300,130
1599415200,124
1599416100,129
1599417000,118
1599417900,103
1599418800,114
1599419700,66
1599420600,44
1599421500,36
1599422400,31
1599423300,60
1599424200,30
1599425100,45
1599426000,41
1599426900,58
1599427800,65
1599428700,24
1599429600,52
1599430500,40
1599431400,47
1599432300,41
1599433200,35
1599434100,43
1599435000,39
1599435900,52
1599436800,29
1599437700,48
1599438600,44
1599439500,35
1599440400,62
1599441300,33
1599442200,33
1599443100,41
1599444000,47
1599444900,43
1599445800,34
1599446700,36
1599447600,35
1599448500,59
1599449400,44
1599450300,24
1599451200,53
1599452100,45
1599453000,38
